指标名称,价格:粳米:北京盛华宏林粮油批发市场有限公司,价格:粳米:天津韩家墅海吉星农产品物流有限公司,价格:粳米:山西省运城蔬菜果品批发市场,价格:粳米:西安粮油批发交易市场,价格:粳米:苏州市南环桥市场发展有限公司,价格:粳米:广州市白云区东旺批发市场经营管理有限公司,价格:粳米:金华市粮食批发交易市场,价格:粳米:余姚市农副产品批发市场,价格:粳米:青岛市粮油综合批发交易市场服务有限公司,价格:粳米:阜阳瑶海农产品市场开发有限公司
2022/4/1,4.96,4.8,4.62,5.94,4.1,5.39,4.6,6,5.42,3.7
2022/4/2,4.97,4.8,4.62,5.94,4.1,5.39,4.6,,5.42,3.8
2022/4/3,4.97,4.8,4.62,5.94,4.1,5.39,4.61,6,5.41,3.8
2022/4/4,4.96,4.8,4.62,5.94,4.1,5.39,4.61,6,5.41,3.7
2022/4/5,4.96,4.8,4.62,5.94,4.1,5.39,4.61,6,5.41,3.8
2022/4/6,4.96,4.8,4.62,5.94,4.1,5.39,4.6,6,5.41,3.8
2022/4/7,4.96,4.8,4.6,5.94,4.1,,4.6,6,5.41,3.8
2022/4/8,4.96,4.8,,5.94,4.1,5.33,4.6,,5.41,3.8
2022/4/9,4.96,4.8,4.61,5.94,4.1,5.33,4.6,6,5.4,3.8
2022/4/10,4.96,4.8,4.62,5.94,4.1,,,,5.4,3.7
2022/4/11,4.97,4.8,4.62,5.92,4.1,5.33,4.6,6,5.4,3.6
2022/4/12,4.95,4.72,4.62,5.92,4.1,5.33,4.61,6,5.4,3.6
2022/4/13,4.95,4.72,4.62,5.92,4.1,5.33,4.61,6,5.4,3.6
2022/4/14,4.95,4.72,4.62,5.92,4.1,5.33,4.61,,5.4,3.6
2022/4/15,4.95,4.72,4.62,5.92,4.1,5.33,4.61,6,5.4,3.7
2022/4/16,4.95,,4.62,5.94,4.1,5.33,4.61,6,5.4,3.8
2022/4/17,4.95,,4.62,5.94,4.1,,4.61,6,5.4,3.8
2022/4/18,4.95,4.72,4.62,5.94,4.1,5.33,4.61,6,5.4,3.7
2022/4/19,4.95,4.72,4.62,5.94,4.1,,4.6,6,5.4,3.6
2022/4/20,4.95,4.72,4.62,5.94,4.1,5.33,4.6,6,5.41,3.6
2022/4/21,4.95,4.72,4.6,5.94,4.1,5.33,4.6,6,5.4,3.6
2022/4/22,4.95,4.72,4.6,5.94,4.1,5.33,4.6,6.2,5.4,3.6
2022/4/23,4.94,4.72,4.6,5.94,4.1,,4.6,6.2,5.4,3.6
2022/4/24,4.94,4.72,4.6,5.94,4.1,5.33,4.6,6.2,5.4,3.6
2022/4/25,4.95,4.72,4.6,5.94,4.1,,4.6,6.1,5.4,3.6
2022/4/26,4.95,4.72,4.6,5.94,4.1,5.33,4.61,6,5.4,3.6
2022/4/27,4.96,4.72,4.6,5.95,4.1,5.33,4.62,6,5.4,3.6
2022/4/28,4.96,4.72,4.6,5.95,4.1,,4.62,6,5.4,3.6
2022/4/29,4.96,4.7,4.6,5.95,4.1,5.33,4.62,6,5.4,3.6
2022/4/30,4.96,4.7,4.6,5.95,4.1,5.33,4.62,6,5.4,3.61
2022/5/1,4.96,4.7,4.6,5.95,4.1,5.33,4.62,6,5.4,3.6
2022/5/2,4.96,4.7,4.62,5.95,4.1,5.33,4.62,6,5.38,3.6
2022/5/3,4.96,4.7,4.6,5.95,4.1,5.33,4.62,6,5.38,3.6
2022/5/4,4.96,4.7,4.6,5.94,4.1,5.33,4.62,6,5.38,3.6
2022/5/5,4.96,4.7,4.6,5.94,4.1,5.33,4.62,6,5.38,3.7
2022/5/6,4.96,4.7,4.6,5.94,4.1,5.33,4.62,6,5.38,3.7
2022/5/7,4.96,4.7,4.6,5.94,4.1,5.33,4.62,5.9,5.38,3.7
2022/5/8,4.95,4.7,4.6,5.94,4.1,,4.63,,5.38,
2022/5/9,4.95,4.7,4.6,5.94,4.1,5.33,4.62,6,5.38,3.7
2022/5/10,4.95,4.8,4.62,5.94,4.1,5.38,4.62,,5.38,3.8
2022/5/11,4.94,4.8,4.62,5.94,4.1,5.38,4.62,6,5.38,3.8
2022/5/12,4.94,4.8,4.62,5.94,4.1,5.38,4.62,,5.38,3.8
2022/5/13,4.95,4.8,4.62,5.94,4.1,5.38,4.62,6,5.4,3.8
2022/5/14,4.95,4.8,4.62,5.94,4.1,,4.62,6,5.4,
2022/5/15,4.95,4.8,4.62,5.95,4.1,,4.62,,5.4,
2022/5/16,4.95,4.8,4.62,5.95,4.1,5.38,4.62,6,5.4,3.8
2022/5/17,4.94,4.8,4.62,5.95,4.1,,4.62,6,5.4,3.7
2022/5/18,4.94,4.8,4.62,5.95,4.1,5.38,4.62,6,5.4,3.7
2022/5/19,4.94,4.8,4.62,5.95,4.1,5.38,4.62,6,5.4,3.7
2022/5/20,4.94,4.8,4.62,5.95,4.1,5.38,4.61,,5.4,3.6
2022/5/21,4.94,4.9,4.6,5.95,4.1,5.36,4.61,,5.4,
2022/5/22,4.94,4.9,4.6,5.95,4.1,5.36,4.62,,5.4,
2022/5/23,4.93,4.9,4.6,5.95,4.1,5.36,4.62,6,5.4,3.6
2022/5/24,4.93,4.9,4.6,5.95,4.1,5.36,4.62,,5.38,3.6
2022/5/25,4.93,4.9,4.6,5.95,4.1,5.36,4.62,6.1,5.38,3.6
2022/5/26,4.93,4.9,4.6,5.94,4.1,5.36,4.62,6.1,5.38,3.6
2022/5/27,4.93,4.9,4.6,5.94,4.2,5.36,4.63,6.1,5.38,3.7
2022/5/28,4.93,4.9,4.6,5.94,4.2,,4.63,6,5.4,
2022/5/29,4.93,4.9,4.6,5.94,4.2,,4.63,,5.4,
2022/5/30,4.93,4.9,4.6,5.94,4.2,5.36,4.63,6,5.4,3.7
2022/5/31,4.9,4.9,4.6,5.94,4.2,5.36,4.63,6,5.4,3.8
2022/6/1,4.9,5,4.62,5.94,4.2,5.36,4.63,6,5.4,3.8
2022/6/2,4.8,5,4.62,5.94,4.2,5.36,4.63,6,5.4,3.8
2022/6/3,4.78,5,4.62,5.94,4.2,5.36,4.63,6,5.4,
2022/6/4,4.78,5,4.62,5.94,4.2,5.36,4.63,6,5.4,3.8
2022/6/5,4.76,5,4.62,5.94,4.2,5.36,4.63,6,5.4,3.8
2022/6/6,4.76,5,4.62,5.95,4.2,5.36,4.63,6,5.4,3.8
2022/6/7,4.76,5,4.62,5.95,4.2,5.36,4.64,6,5.4,3.8
2022/6/8,4.76,5,4.62,5.95,4.2,5.35,4.64,6,5.39,3.8
2022/6/9,4.76,5,4.62,5.94,4.2,5.35,4.64,6,5.4,3.8
2022/6/10,4.76,5,4.62,5.94,4.2,5.35,4.64,5.9,5.4,3.8
2022/6/11,4.76,5,4.62,5.94,4.2,5.35,4.64,5.9,5.4,
2022/6/12,4.76,5.1,4.6,5.94,4.2,5.35,,5.9,5.4,
2022/6/13,,5.1,4.6,5.94,4.2,5.35,4.64,5.9,5.4,3.8
2022/6/14,4.76,5.1,4.62,5.94,4.2,5.35,4.64,5.9,5.4,3.8
2022/6/15,4.76,5.1,4.62,5.94,4.2,5.35,4.64,5.9,5.4,3.8
2022/6/16,4.76,5.1,4.62,5.94,4.2,5.35,4.64,5.9,5.4,3.8
2022/6/17,4.76,5.1,4.62,5.94,4.2,5.35,4.64,5.9,5.4,3.8
2022/6/18,4.76,5.1,4.62,5.94,4.2,5.35,,5.9,5.4,
2022/6/19,4.76,5.1,4.62,5.94,4.2,,,6,5.4,
2022/6/20,4.76,5.1,4.62,5.95,4.2,5.35,4.64,6,5.41,3.8
2022/6/21,4.76,5.1,4.62,5.95,4.2,5.35,4.64,6,5.4,3.8
2022/6/22,4.76,5.1,4.62,5.95,4.2,5.35,4.64,6,5.4,3.8
2022/6/23,4.76,5,4.62,5.95,4.2,5.35,4.64,6,5.4,3.8
2022/6/24,4.76,5,4.62,5.95,4.1,5.35,4.63,6,5.4,3.8
